z	zfir	zmaf
-0.969500	-0.970625	-0.969250
-0.972000	-0.970688	-0.969750
-0.972000	-0.970688	-0.969750
-0.972000	-0.970688	-0.969750
-0.966250	-0.969562	-0.969562
-0.966250	-0.969562	-0.969562
-0.966250	-0.969562	-0.969562
-0.970000	-0.969875	-0.969500
-0.970000	-0.969875	-0.969500
-0.970000	-0.969875	-0.969500
-0.967187	-0.968938	-0.969750
-0.967187	-0.968938	-0.969750
-0.967187	-0.968938	-0.969750
-0.969125	-0.968875	-0.969500
-0.969125	-0.968875	-0.969500
-0.969125	-0.968875	-0.969500
-0.970812	-0.968625	-0.969875
-0.970812	-0.968625	-0.969875
-0.970812	-0.968625	-0.969875
-0.970313	-0.969437	-0.969812
-0.970313	-0.969437	-0.969812
-0.970313	-0.969437	-0.969812
-0.976750	-0.970812	-0.970313
-0.976750	-0.970812	-0.970313
-0.976750	-0.970812	-0.970313
-0.966625	-0.970688	-0.969875
-0.966625	-0.970688	-0.969875
-0.966625	-0.970688	-0.969875
-0.969625	-0.970812	-0.969938
-0.969625	-0.970812	-0.969938
-0.969625	-0.970812	-0.969938
-0.975063	-0.971625	-0.970250
-0.975063	-0.971625	-0.970250
-0.975063	-0.971625	-0.970250
-0.964250	-0.970437	-0.969812
-0.964250	-0.970437	-0.969812
-0.964250	-0.970437	-0.969812
-0.973375	-0.969750	-0.970000
-0.973375	-0.969750	-0.970000
-0.973375	-0.969750	-0.970000
-0.969562	-0.970375	-0.970250
-0.969562	-0.970375	-0.970250
-0.969562	-0.970375	-0.970250
-0.967750	-0.970000	-0.970063
-0.967750	-0.970000	-0.970063
-0.967750	-0.970000	-0.970063
-0.979125	-0.970812	-0.971063
-0.979125	-0.970812	-0.971063
-0.979125	-0.970812	-0.971063
-0.967500	-0.971437	-0.970875
-0.967500	-0.971437	-0.970875
-0.967500	-0.971437	-0.970875
-0.969750	-0.970688	-0.970688
-0.969750	-0.970688	-0.970688
-0.969750	-0.970688	-0.970688
-0.963750	-0.969562	-0.970187
-0.963750	-0.969562	-0.970187
-0.963750	-0.969562	-0.970187
-0.969250	-0.969875	-0.969688
-0.969250	-0.969875	-0.969688
-0.969250	-0.969875	-0.969688
-0.962625	-0.966562	-0.969187
-0.962625	-0.966562	-0.969187
-0.962625	-0.966562	-0.969187
-0.967375	-0.966500	-0.969063
-0.967375	-0.966500	-0.969063
-0.967375	-0.966500	-0.969063
-0.971000	-0.966750	-0.968750
-0.971000	-0.966750	-0.968750
-0.971000	-0.966750	-0.968750
-0.969875	-0.968000	-0.969125
-0.969875	-0.968000	-0.969125
-0.969875	-0.968000	-0.969125
-0.973125	-0.968750	-0.969187
-0.973125	-0.968750	-0.969187
-0.973125	-0.968750	-0.969187
-0.974875	-0.971250	-0.969500
-0.974875	-0.971250	-0.969500
-0.974875	-0.971250	-0.969500
-0.968812	-0.971500	-0.969625
-0.968812	-0.971500	-0.969625
-0.968812	-0.971500	-0.969625
-0.971250	-0.971562	-0.969063
-0.971250	-0.971562	-0.969063
-0.971250	-0.971562	-0.969063
-0.965125	-0.970625	-0.968938
-0.965125	-0.970625	-0.968938
-0.965125	-0.970625	-0.968938
-0.965313	-0.969063	-0.968562
-0.965313	-0.969063	-0.968562
-0.965313	-0.969063	-0.968562
-0.966812	-0.967437	-0.968875
-0.966812	-0.967437	-0.968875
-0.966812	-0.967437	-0.968875
-0.971313	-0.967938	-0.969063
-0.971313	-0.967938	-0.969063
-0.971313	-0.967938	-0.969063
-0.970688	-0.967812	-0.969625
-0.970688	-0.967812	-0.969625
-0.970688	-0.967812	-0.969625
-0.964250	-0.967625	-0.969313
-0.964250	-0.967625	-0.969313
-0.964250	-0.967625	-0.969313
-0.972375	-0.969063	-0.969375
-0.972375	-0.969063	-0.969375
-0.972375	-0.969063	-0.969375
-0.972562	-0.970187	-0.969500
-0.972562	-0.970187	-0.969500
-0.972562	-0.970187	-0.969500
-0.967625	-0.969500	-0.969125
-0.967625	-0.969500	-0.969125
-0.967625	-0.969500	-0.969125
-0.967625	-0.968875	-0.968562
-0.967625	-0.968875	-0.968562
-0.967625	-0.968875	-0.968562
-0.973625	-0.970750	-0.969063
-0.973625	-0.970750	-0.969063
-0.973625	-0.970750	-0.969063
-0.965938	-0.969437	-0.968688
-0.965938	-0.969437	-0.968688
-0.965938	-0.969437	-0.968688
-0.974688	-0.969875	-0.969500
-0.974688	-0.969875	-0.969500
-0.974688	-0.969875	-0.969500
-0.970000	-0.970375	-0.969812
-0.970000	-0.970375	-0.969812
-0.970000	-0.970375	-0.969812
-0.968562	-0.970562	-0.969875
-0.968562	-0.970562	-0.969875
-0.968562	-0.970562	-0.969875
-0.966000	-0.969000	-0.969562
-0.966000	-0.969000	-0.969562
-0.966000	-0.969000	-0.969562
-0.961938	-0.968187	-0.968750
-0.961938	-0.968187	-0.968750
-0.961938	-0.968187	-0.968750
-0.970250	-0.967313	-0.969125
-0.970250	-0.967313	-0.969125
-0.970250	-0.967313	-0.969125
-0.963812	-0.966063	-0.968437
-0.963812	-0.966063	-0.968437
-0.963812	-0.966063	-0.968437
-0.964750	-0.965313	-0.967875
-0.964750	-0.965313	-0.967875
-0.964750	-0.965313	-0.967875
-0.968313	-0.965812	-0.967812
-0.968313	-0.965812	-0.967812
-0.968313	-0.965812	-0.967812
-0.971187	-0.967625	-0.968187
-0.971187	-0.967625	-0.968187
-0.971187	-0.967625	-0.968187
-0.971375	-0.967875	-0.967938
-0.971375	-0.967875	-0.967938
-0.971375	-0.967875	-0.967938
-0.966812	-0.968437	-0.967938
-0.966812	-0.968437	-0.967938
-0.966812	-0.968437	-0.967938
-0.965938	-0.968688	-0.967313
-0.965938	-0.968688	-0.967313
-0.965938	-0.968688	-0.967313
-0.967625	-0.968562	-0.967187
-0.967625	-0.968562	-0.967187
-0.967625	-0.968562	-0.967187
-0.968812	-0.968063	-0.967313
-0.968812	-0.968063	-0.967313
-0.968812	-0.968063	-0.967313
-0.969375	-0.967688	-0.967562
-0.969375	-0.967688	-0.967562
-0.969375	-0.967688	-0.967562
-0.967875	-0.967875	-0.968000
-0.967875	-0.967875	-0.968000
-0.967875	-0.967875	-0.968000
-0.968313	-0.968375	-0.967938
-0.968313	-0.968375	-0.967938
-0.968313	-0.968375	-0.967938
-0.973875	-0.969625	-0.968750
-0.973875	-0.969625	-0.968750
-0.973875	-0.969625	-0.968750
-0.962812	-0.968437	-0.968437
-0.962812	-0.968437	-0.968437
-0.962812	-0.968437	-0.968437
-0.961562	-0.966875	-0.967812
-0.961562	-0.966875	-0.967812
-0.961562	-0.966875	-0.967812
-0.966000	-0.966500	-0.967437
-0.966000	-0.966500	-0.967437
-0.966000	-0.966500	-0.967437
-0.963187	-0.965437	-0.966812
-0.963187	-0.965437	-0.966812
-0.963187	-0.965437	-0.966812
-0.971187	-0.964938	-0.967187
-0.971187	-0.964938	-0.967187
-0.971187	-0.964938	-0.967187
-0.960187	-0.964375	-0.966625
-0.960187	-0.964375	-0.966625
-0.960187	-0.964375	-0.966625
-0.971000	-0.966313	-0.966938
-0.971000	-0.966313	-0.966938
-0.971000	-0.966313	-0.966938
-0.972500	-0.967562	-0.967250
-0.972500	-0.967562	-0.967250
-0.972500	-0.967562	-0.967250
-0.969063	-0.968750	-0.967250
-0.969063	-0.968750	-0.967250
-0.969063	-0.968750	-0.967250
-0.967063	-0.967938	-0.967063
-0.967063	-0.967938	-0.967063
-0.967063	-0.967938	-0.967063
-0.966187	-0.969125	-0.967000
-0.966187	-0.969125	-0.967000
-0.966187	-0.969125	-0.967000
-0.969375	-0.968812	-0.966812
-0.969375	-0.968812	-0.966812
-0.969375	-0.968812	-0.966812
-0.967562	-0.967812	-0.967125
-0.967562	-0.967812	-0.967125
-0.967562	-0.967812	-0.967125
-0.966250	-0.967250	-0.967562
