z	zmaf	zfir
-1.287313	-1.286500	-1.168000
-1.287313	-1.286500	-1.168000
-1.287313	-1.286500	-1.168000
-1.093562	-1.220375	-1.187500
-1.093562	-1.220375	-1.187500
-1.093562	-1.220375	-1.187500
-0.996313	-1.165812	-1.194750
-0.996313	-1.165812	-1.194750
-0.996313	-1.165812	-1.194750
-1.040062	-1.128875	-1.183812
-1.040062	-1.128875	-1.183812
-1.040062	-1.128875	-1.183812
-0.811750	-1.045750	-1.169938
-0.811750	-1.045750	-1.169938
-0.811750	-1.045750	-1.169938
-0.767687	-0.941875	-1.125500
-0.767687	-0.941875	-1.125500
-0.767687	-0.941875	-1.125500
-0.736688	-0.870500	-1.083875
-0.736688	-0.870500	-1.083875
-0.736688	-0.870500	-1.083875
-0.741062	-0.819438	-1.041438
-0.741062	-0.819438	-1.041438
-0.741062	-0.819438	-1.041438
-0.718000	-0.755000	-0.984000
-0.718000	-0.755000	-0.984000
-0.718000	-0.755000	-0.984000
-0.816438	-0.755938	-0.945688
-0.816438	-0.755938	-0.945688
-0.816438	-0.755938	-0.945688
-0.741062	-0.750625	-0.902937
-0.741062	-0.750625	-0.902937
-0.741062	-0.750625	-0.902937
-0.602187	-0.723750	-0.851375
-0.602187	-0.723750	-0.851375
-0.602187	-0.723750	-0.851375
-0.540250	-0.683562	-0.791937
-0.540250	-0.683562	-0.791937
-0.540250	-0.683562	-0.791937
-0.449500	-0.629875	-0.737375
-0.449500	-0.629875	-0.737375
-0.449500	-0.629875	-0.737375
-0.856000	-0.637750	-0.728437
-0.856000	-0.637750	-0.728437
-0.856000	-0.637750	-0.728437
-0.825063	-0.654563	-0.714625
-0.825063	-0.654563	-0.714625
-0.825063	-0.654563	-0.714625
-0.563750	-0.646875	-0.694500
-0.563750	-0.646875	-0.694500
-0.563750	-0.646875	-0.694500
-0.900875	-0.719000	-0.706438
-0.900875	-0.719000	-0.706438
-0.900875	-0.719000	-0.706438
-1.086000	-0.846313	-0.736875
-1.086000	-0.846313	-0.736875
-1.086000	-0.846313	-0.736875
-0.614563	-0.798000	-0.724688
-0.614563	-0.798000	-0.724688
-0.614563	-0.798000	-0.724688
-1.009562	-0.834937	-0.749437
-1.009562	-0.834937	-0.749437
-1.009562	-0.834937	-0.749437
-1.116437	-0.945438	-0.779000
-1.116437	-0.945438	-0.779000
-1.116437	-0.945438	-0.779000
-1.053000	-0.975875	-0.809312
-1.053000	-0.975875	-0.809312
-1.053000	-0.975875	-0.809312
-1.393938	-1.037500	-0.880250
-1.393938	-1.037500	-0.880250
-1.393938	-1.037500	-0.880250
-1.120812	-1.138750	-0.924813
-1.120812	-1.138750	-0.924813
-1.120812	-1.138750	-0.924813
-1.092563	-1.155312	-0.973812
-1.092563	-1.155312	-0.973812
-1.092563	-1.155312	-0.973812
-1.210500	-1.174125	-1.009375
-1.210500	-1.174125	-1.009375
-1.210500	-1.174125	-1.009375
-1.221937	-1.207938	-1.042312
-1.221937	-1.207938	-1.042312
-1.221937	-1.207938	-1.042312
-1.200562	-1.169250	-1.088188
-1.200562	-1.169250	-1.088188
-1.200562	-1.169250	-1.088188
-1.161312	-1.177375	-1.115563
-1.161312	-1.177375	-1.115563
-1.161312	-1.177375	-1.115563
-1.223750	-1.203563	-1.128750
-1.223750	-1.203563	-1.128750
-1.223750	-1.203563	-1.128750
-1.070563	-1.175625	-1.159437
-1.070563	-1.175625	-1.159437
-1.070563	-1.175625	-1.159437
-1.111250	-1.153437	-1.167437
-1.111250	-1.153437	-1.167437
-1.111250	-1.153437	-1.167437
-1.018063	-1.116937	-1.154187
-1.018063	-1.116937	-1.154187
-1.018063	-1.116937	-1.154187
-1.038375	-1.092375	-1.151750
-1.038375	-1.092375	-1.151750
-1.038375	-1.092375	-1.151750
-1.036437	-1.054938	-1.126125
-1.036437	-1.054938	-1.126125
-1.036437	-1.054938	-1.126125
-0.981187	-1.037062	-1.112562
-0.981187	-1.037062	-1.112562
-0.981187	-1.037062	-1.112562
-0.855313	-0.985875	-1.089875
-0.855313	-0.985875	-1.089875
-0.855313	-0.985875	-1.089875
-0.870750	-0.956375	-1.060750
-0.870750	-0.956375	-1.060750
-0.870750	-0.956375	-1.060750
-0.699438	-0.888625	-1.016750
-0.699438	-0.888625	-1.016750
-0.699438	-0.888625	-1.016750
-0.717250	-0.824750	-0.974688
-0.717250	-0.824750	-0.974688
-0.717250	-0.824750	-0.974688
-0.701375	-0.768813	-0.936625
-0.701375	-0.768813	-0.936625
-0.701375	-0.768813	-0.936625
-0.578313	-0.713375	-0.882875
-0.578313	-0.713375	-0.882875
-0.578313	-0.713375	-0.882875
-0.399625	-0.619188	-0.825937
-0.399625	-0.619188	-0.825937
-0.399625	-0.619188	-0.825937
-0.491687	-0.577625	-0.773813
-0.491687	-0.577625	-0.773813
-0.491687	-0.577625	-0.773813
-0.454437	-0.525062	-0.724875
-0.454437	-0.525062	-0.724875
-0.454437	-0.525062	-0.724875
-0.745812	-0.533937	-0.700688
-0.745812	-0.533937	-0.700688
-0.745812	-0.533937	-0.700688
-0.913375	-0.600938	-0.693187
-0.913375	-0.600938	-0.693187
-0.913375	-0.600938	-0.693187
-0.717688	-0.664562	-0.672375
-0.717688	-0.664562	-0.672375
-0.717688	-0.664562	-0.672375
-1.211000	-0.808438	-0.705750
-1.211000	-0.808438	-0.705750
-1.211000	-0.808438	-0.705750
-0.831500	-0.883875	-0.705000
-0.831500	-0.883875	-0.705000
-0.831500	-0.883875	-0.705000
-1.247562	-0.984187	-0.752188
-1.247562	-0.984187	-0.752188
-1.247562	-0.984187	-0.752188
-1.087375	-1.019000	-0.786500
